season,matchday,home,away,goals_home,goals_away
2002,1,1. FC Union Berlin,1. FSV Mainz 05,0,2
2002,1,MSV Duisburg,SpVgg Greuther Fürth,1,0
2002,1,Eintracht Trier,Wacker Burghausen,2,1
2002,1,Eintracht Braunschweig,Waldhof Mannheim,4,2
2002,1,VfB Lübeck,Rot-Weiß Oberhausen,1,0
2002,1,LR Ahlen,SSV Reutlingen,2,0
2002,1,Eintracht Frankfurt,FC St. Pauli,4,0
2002,1,Alemannia Aachen,SC Freiburg,0,1
2002,1,Karlsruher SC,1. FC Köln,0,1
2002,2,SpVgg Greuther Fürth,Alemannia Aachen,0,0
2002,2,Waldhof Mannheim,1. FC Union Berlin,1,2
2002,2,1. FC Köln,MSV Duisburg,4,3
2002,2,Wacker Burghausen,Karlsruher SC,0,0
2002,2,FC St. Pauli,LR Ahlen,1,4
2002,2,SSV Reutlingen,VfB Lübeck,1,3
2002,2,Rot-Weiß Oberhausen,Eintracht Braunschweig,2,0
2002,2,SC Freiburg,Eintracht Frankfurt,0,2
2002,2,1. FSV Mainz 05,Eintracht Trier,2,0
2002,3,VfB Lübeck,FC St. Pauli,6,0
2002,3,Eintracht Frankfurt,SpVgg Greuther Fürth,2,0
2002,3,Eintracht Trier,Karlsruher SC,3,0
2002,3,1. FC Union Berlin,Rot-Weiß Oberhausen,0,0
2002,3,Eintracht Braunschweig,SSV Reutlingen,1,2
2002,3,LR Ahlen,SC Freiburg,1,3
2002,3,MSV Duisburg,Wacker Burghausen,0,0
2002,3,1. FSV Mainz 05,Waldhof Mannheim,2,0
2002,3,Alemannia Aachen,1. FC Köln,0,0
2002,4,Wacker Burghausen,Alemannia Aachen,2,2
2002,4,SpVgg Greuther Fürth,LR Ahlen,1,1
2002,4,Waldhof Mannheim,Eintracht Trier,0,2
2002,4,Karlsruher SC,MSV Duisburg,1,1
2002,4,1. FC Köln,Eintracht Frankfurt,3,2
2002,4,SC Freiburg,VfB Lübeck,2,1
2002,4,FC St. Pauli,Eintracht Braunschweig,7,1
2002,4,SSV Reutlingen,1. FC Union Berlin,0,1
2002,4,Rot-Weiß Oberhausen,1. FSV Mainz 05,1,0
2002,5,LR Ahlen,1. FC Köln,0,0
2002,5,Alemannia Aachen,Karlsruher SC,2,0
2002,5,Eintracht Trier,MSV Duisburg,3,0
2002,5,1. FC Union Berlin,FC St. Pauli,4,2
2002,5,VfB Lübeck,SpVgg Greuther Fürth,1,2
2002,5,Eintracht Frankfurt,Wacker Burghausen,0,2
2002,5,Waldhof Mannheim,Rot-Weiß Oberhausen,1,0
2002,5,1. FSV Mainz 05,SSV Reutlingen,1,3
2002,5,Eintracht Braunschweig,SC Freiburg,0,2
2002,6,Wacker Burghausen,LR Ahlen,3,1
2002,6,SSV Reutlingen,Waldhof Mannheim,3,2
2002,6,MSV Duisburg,Alemannia Aachen,3,3
2002,6,SpVgg Greuther Fürth,Eintracht Braunschweig,3,0
2002,6,SC Freiburg,1. FC Union Berlin,4,0
2002,6,FC St. Pauli,1. FSV Mainz 05,1,4
2002,6,Rot-Weiß Oberhausen,Eintracht Trier,2,1
2002,6,1. FC Köln,VfB Lübeck,2,1
2002,6,Karlsruher SC,Eintracht Frankfurt,0,2
2002,7,1. FC Union Berlin,SpVgg Greuther Fürth,2,2
2002,7,Eintracht Braunschweig,1. FC Köln,1,1
2002,7,Waldhof Mannheim,FC St. Pauli,2,5
2002,7,VfB Lübeck,Wacker Burghausen,3,1
2002,7,LR Ahlen,Karlsruher SC,2,2
2002,7,Eintracht Frankfurt,MSV Duisburg,2,1
2002,7,Rot-Weiß Oberhausen,SSV Reutlingen,3,1
2002,7,Eintracht Trier,Alemannia Aachen,4,1
2002,7,1. FSV Mainz 05,SC Freiburg,0,0
2002,8,Wacker Burghausen,Eintracht Braunschweig,4,2
2002,8,SC Freiburg,Waldhof Mannheim,4,1
2002,8,FC St. Pauli,Rot-Weiß Oberhausen,0,0
2002,8,SpVgg Greuther Fürth,1. FSV Mainz 05,2,0
2002,8,SSV Reutlingen,Eintracht Trier,3,2
2002,8,Alemannia Aachen,Eintracht Frankfurt,1,0
2002,8,MSV Duisburg,LR Ahlen,2,1
2002,8,Karlsruher SC,VfB Lübeck,1,2
2002,8,1. FC Köln,1. FC Union Berlin,7,0
2002,9,VfB Lübeck,MSV Duisburg,1,1
2002,9,LR Ahlen,Alemannia Aachen,1,2
2002,9,Eintracht Trier,Eintracht Frankfurt,2,2
2002,9,1. FC Union Berlin,Wacker Burghausen,2,2
2002,9,Eintracht Braunschweig,Karlsruher SC,1,2
2002,9,SSV Reutlingen,FC St. Pauli,2,0
2002,9,Rot-Weiß Oberhausen,SC Freiburg,1,0
2002,9,Waldhof Mannheim,SpVgg Greuther Fürth,0,0
2002,9,1. FSV Mainz 05,1. FC Köln,2,2
2002,10,Wacker Burghausen,1. FSV Mainz 05,0,2
2002,10,Alemannia Aachen,VfB Lübeck,4,1
2002,10,1. FC Köln,Waldhof Mannheim,3,1
2002,10,SpVgg Greuther Fürth,Rot-Weiß Oberhausen,2,2
2002,10,SC Freiburg,SSV Reutlingen,1,4
2002,10,FC St. Pauli,Eintracht Trier,0,0
2002,10,Eintracht Frankfurt,LR Ahlen,4,1
2002,10,Karlsruher SC,1. FC Union Berlin,3,2
2002,10,MSV Duisburg,Eintracht Braunschweig,1,1
2002,11,1. FC Union Berlin,MSV Duisburg,0,0
2002,11,VfB Lübeck,Eintracht Frankfurt,1,3
2002,11,FC St. Pauli,SC Freiburg,0,1
2002,11,Rot-Weiß Oberhausen,1. FC Köln,2,2
2002,11,Eintracht Braunschweig,Alemannia Aachen,2,3
2002,11,SSV Reutlingen,SpVgg Greuther Fürth,2,4
2002,11,Waldhof Mannheim,Wacker Burghausen,0,4
2002,11,Eintracht Trier,LR Ahlen,2,1
2002,11,1. FSV Mainz 05,Karlsruher SC,2,2
2002,12,Wacker Burghausen,Rot-Weiß Oberhausen,3,0
2002,12,Eintracht Frankfurt,Eintracht Braunschweig,0,0
2002,12,Alemannia Aachen,1. FC Union Berlin,3,0
2002,12,SpVgg Greuther Fürth,FC St. Pauli,2,1
2002,12,LR Ahlen,VfB Lübeck,1,0
2002,12,MSV Duisburg,1. FSV Mainz 05,1,0
2002,12,Karlsruher SC,Waldhof Mannheim,1,1
2002,12,1. FC Köln,SSV Reutlingen,1,1
2002,12,SC Freiburg,Eintracht Trier,1,0
2002,13,1. FC Union Berlin,Eintracht Frankfurt,1,1
2002,13,Eintracht Braunschweig,LR Ahlen,1,0
2002,13,1. FSV Mainz 05,Alemannia Aachen,3,1
2002,13,SC Freiburg,SpVgg Greuther Fürth,1,1
2002,13,SSV Reutlingen,Wacker Burghausen,0,0
2002,13,Rot-Weiß Oberhausen,Karlsruher SC,3,1
2002,13,Waldhof Mannheim,MSV Duisburg,1,2
2002,13,Eintracht Trier,VfB Lübeck,1,3
2002,13,FC St. Pauli,1. FC Köln,2,3
2002,14,LR Ahlen,1. FC Union Berlin,1,1
2002,14,Eintracht Frankfurt,1. FSV Mainz 05,1,0
2002,14,Alemannia Aachen,Waldhof Mannheim,1,2
2002,14,MSV Duisburg,Rot-Weiß Oberhausen,3,0
2002,14,Wacker Burghausen,FC St. Pauli,1,1
2002,14,SpVgg Greuther Fürth,Eintracht Trier,1,2
2002,14,VfB Lübeck,Eintracht Braunschweig,2,1
2002,14,Karlsruher SC,SSV Reutlingen,0,0
2002,14,1. FC Köln,SC Freiburg,1,0
2002,15,SSV Reutlingen,MSV Duisburg,2,4
2002,15,Rot-Weiß Oberhausen,Alemannia Aachen,1,1
2002,15,Waldhof Mannheim,Eintracht Frankfurt,0,1
2002,15,1. FC Union Berlin,VfB Lübeck,3,1
2002,15,Eintracht Braunschweig,Eintracht Trier,1,1
2002,15,SC Freiburg,Wacker Burghausen,2,1
2002,15,1. FSV Mainz 05,LR Ahlen,1,0
2002,15,1. FC Köln,SpVgg Greuther Fürth,3,2
2002,15,FC St. Pauli,Karlsruher SC,1,2
2002,16,Wacker Burghausen,SpVgg Greuther Fürth,1,3
2002,16,VfB Lübeck,1. FSV Mainz 05,1,3
2002,16,MSV Duisburg,FC St. Pauli,2,1
2002,16,Eintracht Braunschweig,1. FC Union Berlin,1,2
2002,16,LR Ahlen,Waldhof Mannheim,1,4
2002,16,Eintracht Frankfurt,Rot-Weiß Oberhausen,1,0
2002,16,Alemannia Aachen,SSV Reutlingen,3,1
2002,16,Eintracht Trier,1. FC Köln,2,3
2002,16,Karlsruher SC,SC Freiburg,1,1
2002,17,SpVgg Greuther Fürth,Karlsruher SC,0,0
2002,17,FC St. Pauli,Alemannia Aachen,1,4
2002,17,1. FSV Mainz 05,Eintracht Braunschweig,3,1
2002,17,1. FC Köln,Wacker Burghausen,1,0
2002,17,1. FC Union Berlin,Eintracht Trier,1,3
2002,17,SC Freiburg,MSV Duisburg,3,1
2002,17,SSV Reutlingen,Eintracht Frankfurt,1,0
2002,17,Rot-Weiß Oberhausen,LR Ahlen,2,1
2002,17,Waldhof Mannheim,VfB Lübeck,2,1
2002,18,Waldhof Mannheim,Eintracht Braunschweig,1,1
2002,18,FC St. Pauli,Eintracht Frankfurt,1,1
2002,18,1. FC Köln,Karlsruher SC,3,0
2002,18,1. FSV Mainz 05,1. FC Union Berlin,1,0
2002,18,Rot-Weiß Oberhausen,VfB Lübeck,3,1
2002,18,SSV Reutlingen,LR Ahlen,1,2
2002,18,SpVgg Greuther Fürth,MSV Duisburg,1,0
2002,18,Wacker Burghausen,Eintracht Trier,1,1
2002,18,SC Freiburg,Alemannia Aachen,1,1
2002,19,Eintracht Frankfurt,SC Freiburg,1,1
2002,19,Karlsruher SC,Wacker Burghausen,2,1
2002,19,LR Ahlen,FC St. Pauli,3,2
2002,19,VfB Lübeck,SSV Reutlingen,0,0
2002,19,1. FC Union Berlin,Waldhof Mannheim,1,1
2002,19,Eintracht Trier,1. FSV Mainz 05,2,1
2002,19,Alemannia Aachen,SpVgg Greuther Fürth,0,0
2002,19,Eintracht Braunschweig,Rot-Weiß Oberhausen,2,1
2002,19,MSV Duisburg,1. FC Köln,2,2
2002,20,Wacker Burghausen,MSV Duisburg,1,1
2002,20,Waldhof Mannheim,1. FSV Mainz 05,1,5
2002,20,Rot-Weiß Oberhausen,1. FC Union Berlin,2,2
2002,20,FC St. Pauli,VfB Lübeck,2,0
2002,20,SC Freiburg,LR Ahlen,4,0
2002,20,SpVgg Greuther Fürth,Eintracht Frankfurt,0,1
2002,20,Karlsruher SC,Eintracht Trier,1,1
2002,20,1. FC Köln,Alemannia Aachen,3,3
2002,20,SSV Reutlingen,Eintracht Braunschweig,0,1
2002,21,VfB Lübeck,SC Freiburg,2,0
2002,21,Eintracht Braunschweig,FC St. Pauli,0,1
2002,21,MSV Duisburg,Karlsruher SC,2,0
2002,21,Alemannia Aachen,Wacker Burghausen,2,3
2002,21,LR Ahlen,SpVgg Greuther Fürth,3,0
2002,21,1. FSV Mainz 05,Rot-Weiß Oberhausen,2,1
2002,21,Eintracht Trier,Waldhof Mannheim,2,2
2002,21,Eintracht Frankfurt,1. FC Köln,1,1
2002,21,1. FC Union Berlin,SSV Reutlingen,0,0
2002,22,1. FC Köln,LR Ahlen,2,1
2002,22,Karlsruher SC,Alemannia Aachen,1,2
2002,22,Rot-Weiß Oberhausen,Waldhof Mannheim,0,1
2002,22,FC St. Pauli,1. FC Union Berlin,2,2
2002,22,SpVgg Greuther Fürth,VfB Lübeck,2,1
2002,22,Wacker Burghausen,Eintracht Frankfurt,3,3
2002,22,SSV Reutlingen,1. FSV Mainz 05,1,2
2002,22,MSV Duisburg,Eintracht Trier,2,4
2002,22,SC Freiburg,Eintracht Braunschweig,2,0
2002,23,Eintracht Braunschweig,SpVgg Greuther Fürth,1,1
2002,23,1. FSV Mainz 05,FC St. Pauli,1,1
2002,23,Waldhof Mannheim,SSV Reutlingen,0,0
2002,23,Eintracht Frankfurt,Karlsruher SC,2,1
2002,23,LR Ahlen,Wacker Burghausen,2,4
2002,23,Eintracht Trier,Rot-Weiß Oberhausen,1,0
2002,23,Alemannia Aachen,MSV Duisburg,1,0
2002,23,VfB Lübeck,1. FC Köln,1,1
2002,23,1. FC Union Berlin,SC Freiburg,1,1
2002,24,Karlsruher SC,LR Ahlen,2,4
2002,24,FC St. Pauli,Waldhof Mannheim,2,1
2002,24,SC Freiburg,1. FSV Mainz 05,1,0
2002,24,SpVgg Greuther Fürth,1. FC Union Berlin,1,1
2002,24,1. FC Köln,Eintracht Braunschweig,1,1
2002,24,Wacker Burghausen,VfB Lübeck,0,0
2002,24,SSV Reutlingen,Rot-Weiß Oberhausen,2,0
2002,24,Alemannia Aachen,Eintracht Trier,0,1
2002,24,MSV Duisburg,Eintracht Frankfurt,0,2
2002,25,1. FSV Mainz 05,SpVgg Greuther Fürth,1,3
2002,25,Eintracht Trier,SSV Reutlingen,1,2
2002,25,LR Ahlen,MSV Duisburg,0,0
2002,25,Eintracht Braunschweig,Wacker Burghausen,0,0
2002,25,Rot-Weiß Oberhausen,FC St. Pauli,3,0
2002,25,Eintracht Frankfurt,Alemannia Aachen,1,1
2002,25,VfB Lübeck,Karlsruher SC,2,0
2002,25,1. FC Union Berlin,1. FC Köln,0,3
2002,25,Waldhof Mannheim,SC Freiburg,0,3
2002,26,Alemannia Aachen,LR Ahlen,3,0
2002,26,FC St. Pauli,SSV Reutlingen,1,2
2002,26,Eintracht Frankfurt,Eintracht Trier,2,3
2002,26,Wacker Burghausen,1. FC Union Berlin,0,1
2002,26,Karlsruher SC,Eintracht Braunschweig,1,0
2002,26,MSV Duisburg,VfB Lübeck,1,0
2002,26,SC Freiburg,Rot-Weiß Oberhausen,5,2
2002,26,SpVgg Greuther Fürth,Waldhof Mannheim,5,0
2002,26,1. FC Köln,1. FSV Mainz 05,1,4
2002,27,1. FSV Mainz 05,Wacker Burghausen,2,0
2002,27,Eintracht Braunschweig,MSV Duisburg,0,1
2002,27,Waldhof Mannheim,1. FC Köln,1,2
2002,27,Rot-Weiß Oberhausen,SpVgg Greuther Fürth,2,3
2002,27,Eintracht Trier,FC St. Pauli,1,2
2002,27,LR Ahlen,Eintracht Frankfurt,1,1
2002,27,VfB Lübeck,Alemannia Aachen,2,0
2002,27,1. FC Union Berlin,Karlsruher SC,0,0
2002,27,SSV Reutlingen,SC Freiburg,0,2
2002,28,Alemannia Aachen,Eintracht Braunschweig,1,3
2002,28,Wacker Burghausen,Waldhof Mannheim,2,0
2002,28,Karlsruher SC,1. FSV Mainz 05,0,0
2002,28,MSV Duisburg,1. FC Union Berlin,0,1
2002,28,Eintracht Frankfurt,VfB Lübeck,3,1
2002,28,SC Freiburg,FC St. Pauli,1,1
2002,28,SpVgg Greuther Fürth,SSV Reutlingen,2,0
2002,28,LR Ahlen,Eintracht Trier,2,1
2002,28,1. FC Köln,Rot-Weiß Oberhausen,2,0
2002,29,FC St. Pauli,SpVgg Greuther Fürth,1,1
2002,29,VfB Lübeck,LR Ahlen,4,1
2002,29,Waldhof Mannheim,Karlsruher SC,0,2
2002,29,Rot-Weiß Oberhausen,Wacker Burghausen,0,0
2002,29,Eintracht Trier,SC Freiburg,0,1
2002,29,Eintracht Braunschweig,Eintracht Frankfurt,0,0
2002,29,1. FC Union Berlin,Alemannia Aachen,3,2
2002,29,SSV Reutlingen,1. FC Köln,1,2
2002,29,1. FSV Mainz 05,MSV Duisburg,3,1
2002,30,Eintracht Frankfurt,1. FC Union Berlin,0,0
2002,30,SpVgg Greuther Fürth,SC Freiburg,4,0
2002,30,MSV Duisburg,Waldhof Mannheim,0,0
2002,30,LR Ahlen,Eintracht Braunschweig,1,2
2002,30,Wacker Burghausen,SSV Reutlingen,1,0
2002,30,Karlsruher SC,Rot-Weiß Oberhausen,2,1
2002,30,Alemannia Aachen,1. FSV Mainz 05,3,0
2002,30,VfB Lübeck,Eintracht Trier,3,1
2002,30,1. FC Köln,FC St. Pauli,2,1
2002,31,FC St. Pauli,Wacker Burghausen,2,2
2002,31,1. FC Union Berlin,LR Ahlen,1,1
2002,31,SC Freiburg,1. FC Köln,3,0
2002,31,Eintracht Trier,SpVgg Greuther Fürth,1,2
2002,31,Eintracht Braunschweig,VfB Lübeck,1,1
2002,31,Waldhof Mannheim,Alemannia Aachen,2,1
2002,31,Rot-Weiß Oberhausen,MSV Duisburg,3,1
2002,31,SSV Reutlingen,Karlsruher SC,0,3
2002,31,1. FSV Mainz 05,Eintracht Frankfurt,3,2
2002,32,SpVgg Greuther Fürth,1. FC Köln,2,0
2002,32,VfB Lübeck,1. FC Union Berlin,0,1
2002,32,MSV Duisburg,SSV Reutlingen,2,0
2002,32,Eintracht Frankfurt,Waldhof Mannheim,4,1
2002,32,Eintracht Trier,Eintracht Braunschweig,0,1
2002,32,Wacker Burghausen,SC Freiburg,1,2
2002,32,Karlsruher SC,FC St. Pauli,1,1
2002,32,Alemannia Aachen,Rot-Weiß Oberhausen,2,0
2002,32,LR Ahlen,1. FSV Mainz 05,4,3
2002,33,SpVgg Greuther Fürth,Wacker Burghausen,2,2
2002,33,1. FC Union Berlin,Eintracht Braunschweig,0,1
2002,33,1. FSV Mainz 05,VfB Lübeck,5,1
2002,33,Waldhof Mannheim,LR Ahlen,0,2
2002,33,Rot-Weiß Oberhausen,Eintracht Frankfurt,0,2
2002,33,SSV Reutlingen,Alemannia Aachen,5,0
2002,33,FC St. Pauli,MSV Duisburg,4,0
2002,33,SC Freiburg,Karlsruher SC,3,1
2002,33,1. FC Köln,Eintracht Trier,1,3
2002,34,Eintracht Trier,1. FC Union Berlin,0,1
2002,34,Karlsruher SC,SpVgg Greuther Fürth,2,1
2002,34,MSV Duisburg,SC Freiburg,3,2
2002,34,Alemannia Aachen,FC St. Pauli,4,1
2002,34,Eintracht Frankfurt,SSV Reutlingen,6,3
2002,34,LR Ahlen,Rot-Weiß Oberhausen,2,1
2002,34,VfB Lübeck,Waldhof Mannheim,3,1
2002,34,Eintracht Braunschweig,1. FSV Mainz 05,1,4
2002,34,Wacker Burghausen,1. FC Köln,2,0
