as_of,assumed_opponents,assumed_crowd_concentration,contest_share_given_actual_results,baseline_share_given_actual_results
2018-08-21,100,1.0,1.9528656550083117e-34,1.459405875538552e-44
2018-08-21,1000,1.0,0.0,0.0
2018-08-21,10000,1.0,0.0,0.0
2018-08-21,100,2.5,1.041953480750241e-36,3.082329859133549e-48
2018-08-21,1000,2.5,0.0,0.0
2018-08-21,10000,2.5,0.0,0.0
2018-08-21,100,5.0,3.2419537495748785e-33,1.9151578409213758e-45
2018-08-21,1000,5.0,4.107006424e-314,0.0
2018-08-21,10000,5.0,0.0,0.0
2018-08-28,100,1.0,0.18329708815932552,1.2710872185401525e-56
2018-08-28,1000,1.0,3.8139263702193205e-07,0.0
2018-08-28,10000,1.0,4.818969910330143e-57,0.0
2018-08-28,100,2.5,0.4899496634426801,1.551503497386756e-54
2018-08-28,1000,2.5,0.0017578320401469589,0.0
2018-08-28,10000,2.5,6.262641249756453e-23,0.0
2018-08-28,100,5.0,0.7405000213389086,7.321438286257133e-50
2018-08-28,1000,5.0,0.06422636532373806,0.0
2018-08-28,10000,5.0,1.8775000448784643e-09,0.0
2018-09-11,100,1.0,0.0003015069369298988,4.117899289525135e-06
2018-09-11,1000,1.0,1.6326529639836293e-31,7.703275450326984e-49
2018-09-11,10000,1.0,2.6888903402824888e-295,0.0
2018-09-11,100,2.5,7.906025857425513e-05,4.189272221332809e-07
2018-09-11,1000,2.5,1.4332557947959613e-36,6.236949069066908e-58
2018-09-11,10000,2.5,0.0,0.0
2018-09-11,100,5.0,0.00011081938138531105,4.3034640432671264e-07
2018-09-11,1000,5.0,6.74754620600168e-35,1.7020053959717323e-57
2018-09-11,10000,5.0,0.0,0.0
2018-09-18,100,1.0,2.4975454194025684e-14,8.855808010223333e-27
2018-09-18,1000,1.0,3.42672442329101e-128,7.839649071684594e-251
2018-09-18,10000,1.0,0.0,0.0
2018-09-18,100,2.5,1.4420159633697507e-15,3.22840786250766e-30
2018-09-18,1000,2.5,5.028995488614937e-140,1.4670058093241605e-284
2018-09-18,10000,2.5,0.0,0.0
2018-09-18,100,5.0,2.983654971255932e-15,4.449305821488857e-31
2018-09-18,1000,5.0,1.1689585925483685e-136,8.165049108794765e-293
2018-09-18,10000,5.0,0.0,0.0
2018-10-02,100,1.0,1.2158935753518464e-90,5.835292342071144e-20
2018-10-02,1000,1.0,0.0,3.7499803218624287e-183
2018-10-02,10000,1.0,0.0,0.0
2018-10-02,100,2.5,1.889772302139834e-136,1.0365265019113761e-27
2018-10-02,1000,2.5,0.0,2.1820364640423844e-259
2018-10-02,10000,2.5,0.0,0.0
2018-10-02,100,5.0,5.440603132569501e-211,2.8744413122991737e-38
2018-10-02,1000,5.0,0.0,0.0
2018-10-02,10000,5.0,0.0,0.0
2018-10-16,100,1.0,0.000271406997087804,5.986429876614838e-19
2018-10-16,1000,1.0,1.1374727896848207e-31,3.2809477787206196e-173
2018-10-16,10000,1.0,1.5276540999145971e-296,0.0
2018-10-16,100,2.5,7.876421274445377e-05,1.1699076712600757e-25
2018-10-16,1000,2.5,5.0378335272804586e-36,9.154559410628144e-239
2018-10-16,10000,2.5,0.0,0.0
2018-10-16,100,5.0,0.0011781626365587078,1.6213839947227034e-27
2018-10-16,1000,5.0,1.610854716390843e-24,7.380812230579731e-256
2018-10-16,10000,5.0,3.2133568577707353e-224,0.0
2018-10-23,100,1.0,1.105165936136665e-05,5.491038956088533e-56
2018-10-23,1000,1.0,1.1050164611872834e-44,0.0
2018-10-23,10000,1.0,0.0,0.0
2018-10-23,100,2.5,0.0001790539174053706,1.0885887909718803e-56
2018-10-23,1000,2.5,3.471282985282423e-33,0.0
2018-10-23,10000,2.5,2.176908720681e-311,0.0
2018-10-23,100,5.0,0.009999578756520711,2.3784346713360043e-49
2018-10-23,1000,5.0,2.3763305141543632e-17,0.0
2018-10-23,10000,5.0,7.173625315277801e-155,0.0
2018-10-30,100,1.0,2.313350583370009e-29,9.849521716243359e-15
2018-10-30,1000,1.0,1.66337336131489e-276,6.605091411972467e-132
2018-10-30,10000,1.0,0.0,0.0
2018-10-30,100,2.5,1.0459450642577487e-38,3.6450968065005565e-18
2018-10-30,1000,2.5,0.0,4.008367478732396e-165
2018-10-30,10000,2.5,0.0,0.0
2018-10-30,100,5.0,3.3271799716339613e-51,2.62419535247194e-21
2018-10-30,1000,5.0,0.0,2.764287538363422e-195
2018-10-30,10000,5.0,0.0,0.0
2018-11-06,100,1.0,2.892215488170682e-141,4.5270587324560485e-32
2018-11-06,1000,1.0,0.0,2.1773981478171482e-302
2018-11-06,10000,1.0,0.0,0.0
2018-11-06,100,2.5,1.6161514239718083e-166,1.2872233849365116e-32
2018-11-06,1000,2.5,0.0,2.1064267974856e-307
2018-11-06,10000,2.5,0.0,0.0
2018-11-06,100,5.0,3.469555303075773e-220,4.800582472836552e-28
2018-11-06,1000,5.0,0.0,2.137628590493927e-261
2018-11-06,10000,5.0,0.0,0.0
2018-11-20,100,1.0,3.465890956459578e-86,1.2178868124404946e-14
2018-11-20,1000,1.0,0.0,6.891810115724707e-131
2018-11-20,10000,1.0,0.0,0.0
2018-11-20,100,2.5,6.673367201007156e-140,1.1262260322583968e-20
2018-11-20,1000,2.5,0.0,1.1701067454960677e-189
2018-11-20,10000,2.5,0.0,0.0
2018-11-20,100,5.0,8.604027394137795e-228,2.939144269498082e-22
2018-11-20,1000,5.0,0.0,8.965583521648667e-205
2018-11-20,10000,5.0,0.0,0.0
2018-11-27,100,1.0,8.791684352976627e-48,0.0014154643020896191
2018-11-27,1000,1.0,0.0,1.9130556420848906e-25
2018-11-27,10000,1.0,0.0,2.4477674459229783e-235
2018-11-27,100,2.5,2.4393813366573878e-57,0.0017863221585034403
2018-11-27,1000,2.5,0.0,2.9903471821590254e-24
2018-11-27,10000,2.5,0.0,3.4695860564590854e-223
2018-11-27,100,5.0,1.5240953061001743e-63,0.007237650205419702
2018-11-27,1000,5.0,0.0,1.8456424700851523e-18
2018-11-27,10000,5.0,0.0,1.2959872265923084e-165
2018-12-04,100,1.0,1.1168924310860174e-107,1.3236606840632583e-05
2018-12-04,1000,1.0,0.0,6.275220801086715e-44
2018-12-04,10000,1.0,0.0,0.0
2018-12-04,100,2.5,7.199538349787848e-165,4.4335758911154105e-08
2018-12-04,1000,2.5,0.0,4.9244195290563124e-67
2018-12-04,10000,2.5,0.0,0.0
2018-12-04,100,5.0,7.272268939800023e-256,8.332740117974795e-10
2018-12-04,1000,5.0,0.0,3.692997223852191e-83
2018-12-04,10000,5.0,0.0,0.0
2018-12-11,100,1.0,4.118967115993549e-16,1.7285129357988003e-11
2018-12-11,1000,1.0,1.274603155556116e-145,2.348304394672002e-100
2018-12-11,10000,1.0,0.0,0.0
2018-12-11,100,2.5,4.0504866108990193e-23,1.7644592328782748e-16
2018-12-11,1000,2.5,1.8713944417585425e-214,6.630114718917334e-149
2018-12-11,10000,2.5,0.0,0.0
2018-12-11,100,5.0,1.6180073101971728e-28,3.1163599718966145e-20
2018-12-11,1000,5.0,9.492151104723858e-268,1.2654973297690069e-185
2018-12-11,10000,5.0,0.0,0.0
2019-01-15,100,1.0,2.3179979626348308e-169,6.752467895614075e-16
2019-01-15,1000,1.0,0.0,1.7644650536279813e-143
2019-01-15,10000,1.0,0.0,0.0
2019-01-15,100,2.5,1.9372962611210146e-232,4.754179977272464e-20
2019-01-15,1000,2.5,0.0,5.121446709743541e-184
2019-01-15,10000,2.5,0.0,0.0
2019-01-15,100,5.0,0.0,5.787704245254455e-25
2019-01-15,1000,5.0,0.0,4.254188126724693e-232
2019-01-15,10000,5.0,0.0,0.0
2019-01-22,100,1.0,7.836594069079298e-76,0.0013951362935779364
2019-01-22,1000,1.0,0.0,4.1351759930617616e-25
2019-01-22,10000,1.0,0.0,1.548333868952764e-231
2019-01-22,100,2.5,5.759245907226245e-136,1.263232258713437e-06
2019-01-22,1000,2.5,0.0,5.774250198775215e-53
2019-01-22,10000,2.5,0.0,0.0
2019-01-22,100,5.0,1.5288412741999315e-237,2.6037965976415744e-10
2019-01-22,1000,5.0,0.0,5.374001730767879e-88
2019-01-22,10000,5.0,0.0,0.0
2019-01-29,100,1.0,0.09074644618619192,6.343242057546754e-61
2019-01-29,1000,1.0,9.52469659207588e-10,0.0
2019-01-29,10000,1.0,6.10791552599555e-82,0.0
2019-01-29,100,2.5,0.2974130039680376,3.248425476154121e-55
2019-01-29,1000,2.5,2.4727098355790884e-05,0.0
2019-01-29,10000,2.5,6.792033016626195e-40,0.0
2019-01-29,100,5.0,0.6900862699574261,1.7839299240856686e-42
2019-01-29,1000,5.0,0.03218143869141638,0.0
2019-01-29,10000,5.0,2.287918451641431e-12,0.0
2019-02-05,100,1.0,1.0017068950744142e-13,1.0017068950744142e-13
2019-02-05,1000,1.0,1.0712091136208306e-121,1.0712091136208306e-121
2019-02-05,10000,1.0,0.0,0.0
2019-02-05,100,2.5,1.7924561405481292e-16,1.7924561405481292e-16
2019-02-05,1000,2.5,4.7866947265015426e-148,4.7866947265015426e-148
2019-02-05,10000,2.5,0.0,0.0
