season,matchday,matches,finished,draws
2016,1,9,9,2
2016,2,9,9,2
2016,3,9,9,1
2016,4,9,9,3
2016,5,9,9,2
2016,6,9,9,3
2016,7,9,9,4
2016,8,9,9,1
2016,9,9,9,2
2016,10,9,9,1
2016,11,9,9,2
2016,12,9,9,4
2016,13,9,9,2
2016,14,9,9,2
2016,15,9,9,3
2016,16,9,9,3
2016,17,9,9,2
2016,18,9,9,1
2016,19,9,9,1
2016,20,9,9,0
2016,21,9,9,3
2016,22,9,9,1
2016,23,9,9,2
2016,24,9,9,3
2016,25,9,9,2
2016,26,9,9,3
2016,27,9,9,0
2016,28,9,9,1
2016,29,9,9,1
2016,30,9,9,3
2016,31,9,9,2
2016,32,9,9,3
2016,33,9,9,5
2016,34,9,9,4
2017,1,9,9,1
2017,2,9,9,2
2017,3,9,9,3
2017,4,9,9,2
2017,5,9,9,2
2017,6,9,9,4
2017,7,9,9,4
2017,8,9,9,2
2017,9,9,9,4
2017,10,9,9,2
2017,11,9,9,3
2017,12,9,9,2
2017,13,9,9,2
2017,14,9,9,3
2017,15,9,9,4
2017,16,9,9,1
2017,17,9,9,4
2017,18,9,9,3
2017,19,9,9,2
2017,20,9,9,4
2017,21,9,9,4
2017,22,9,9,0
2017,23,9,9,1
2017,24,9,9,4
2017,25,9,9,3
2017,26,9,9,2
2017,27,9,9,1
2017,28,9,9,4
2017,29,9,9,2
2017,30,9,9,3
2017,31,9,9,1
2017,32,9,9,3
2017,33,9,9,1
2017,34,9,9,0
2018,1,9,9,1
2018,2,9,9,4
2018,3,9,9,3
2018,4,9,9,3
2018,5,9,9,2
2018,6,9,9,1
2018,7,9,9,2
2018,8,9,9,3
2018,9,9,9,3
2018,10,9,9,2
2018,11,9,9,0
2018,12,9,9,3
2018,13,9,9,2
2018,14,9,9,2
2018,15,9,9,2
2018,16,9,9,4
2018,17,9,9,1
2018,18,9,9,0
2018,19,9,9,2
2018,20,9,9,4
2018,21,9,9,3
2018,22,9,9,4
2018,23,9,9,2
2018,24,9,9,1
2018,25,9,9,1
2018,26,9,9,2
2018,27,9,9,1
2018,28,9,9,2
2018,29,9,9,1
2018,30,9,9,2
2018,31,9,9,2
2018,32,9,9,5
2018,33,9,9,2
2018,34,9,9,1
2019,1,9,9,2
2019,2,9,9,1
2019,3,9,9,2
2019,4,9,9,2
2019,5,9,9,3
