season,matchday,n,points,asofs,last_asof,first_match
2018,1,9,8,1,2018-08-21,2018-08-24
2018,2,9,5,1,2018-08-28,2018-08-31
2018,3,9,15,1,2018-09-11,2018-09-14
2018,4,9,9,1,2018-09-18,2018-09-21
2018,5,9,17,1,2018-09-25,2018-09-25
2018,6,9,12,1,2018-09-25,2018-09-28
2018,7,9,10,1,2018-10-02,2018-10-05
2018,8,9,11,1,2018-10-16,2018-10-19
2018,9,9,6,1,2018-10-23,2018-10-26
2018,10,9,11,1,2018-10-30,2018-11-02
2018,11,9,8,1,2018-11-06,2018-11-09
2018,12,9,12,1,2018-11-20,2018-11-23
2018,13,9,16,1,2018-11-27,2018-11-30
2018,14,9,16,1,2018-12-04,2018-12-07
2018,15,9,14,1,2018-12-11,2018-12-14
2018,16,9,8,1,2018-12-18,2018-12-18
2018,17,9,13,1,2018-12-18,2018-12-21
2018,18,9,12,1,2019-01-15,2019-01-18
2018,19,9,18,1,2019-01-22,2019-01-25
2018,20,9,4,1,2019-01-29,2019-02-01
2018,21,9,11,1,2019-02-05,2019-02-08
2018,22,9,10,1,2019-02-12,2019-02-15
2018,23,9,12,1,2019-02-19,2019-02-22
2018,24,9,14,1,2019-02-26,2019-03-01
2018,25,9,17,1,2019-03-05,2019-03-08
2018,26,9,15,1,2019-03-12,2019-03-15
2018,27,9,14,1,2019-03-26,2019-03-29
2018,28,9,11,1,2019-04-02,2019-04-05
2018,29,9,18,1,2019-04-09,2019-04-12
2018,30,9,18,1,2019-04-16,2019-04-20
2018,31,9,4,1,2019-04-23,2019-04-26
2018,32,9,8,1,2019-04-30,2019-05-03
2018,33,9,4,1,2019-05-07,2019-05-11
2018,34,9,18,1,2019-05-14,2019-05-18
2019,1,9,15,1,2019-08-13,2019-08-16
2019,2,9,15,1,2019-08-20,2019-08-23
2019,3,9,13,1,2019-08-27,2019-08-30
2019,4,9,12,1,2019-09-10,2019-09-13
2019,5,9,18,1,2019-09-17,2019-09-20
2019,6,9,11,1,2019-09-24,2019-09-27
2019,7,9,8,1,2019-10-01,2019-10-04
2019,8,9,7,1,2019-10-15,2019-10-18
2019,9,9,8,1,2019-10-22,2019-10-25
2019,10,9,9,1,2019-10-29,2019-11-01
2019,11,9,8,1,2019-11-05,2019-11-08
2019,12,9,4,1,2019-11-19,2019-11-22
2019,13,9,11,1,2019-11-26,2019-11-29
2019,14,9,14,1,2019-12-03,2019-12-06
2019,15,9,16,1,2019-12-10,2019-12-13
2019,16,9,8,1,2019-12-17,2019-12-17
2019,17,9,13,1,2019-12-17,2019-12-20
2019,18,9,12,1,2020-01-14,2020-01-17
2019,19,9,10,1,2020-01-21,2020-01-24
2019,20,9,13,1,2020-01-28,2020-01-31
2019,21,9,9,1,2020-02-04,2020-02-07
2019,22,9,15,1,2020-02-11,2020-02-14
2019,23,9,10,1,2020-02-18,2020-02-21
2019,24,9,16,1,2020-02-25,2020-02-28
2019,25,9,14,1,2020-03-03,2020-03-06
2019,26,9,14,1,2020-05-12,2020-05-16
2019,27,9,8,1,2020-05-19,2020-05-22
2019,28,9,5,1,2020-05-26,2020-05-26
2019,29,9,16,1,2020-05-26,2020-05-29
2019,30,9,7,1,2020-06-02,2020-06-05
2019,31,9,8,1,2020-06-09,2020-06-12
2019,32,9,15,1,2020-06-16,2020-06-16
2019,33,9,11,1,2020-06-16,2020-06-20
2019,34,9,20,1,2020-06-23,2020-06-27
2020,1,9,9,1,2020-09-15,2020-09-18
2020,2,9,0,1,2020-09-22,2020-09-25
2020,3,9,18,1,2020-09-29,2020-10-02
2020,4,9,14,1,2020-10-13,2020-10-17
