method,book_weight,metric,difference,ci_025,ci_975
select_fixed,0.0,log_loss,-0.003270424718869025,-0.006634321284125976,0.0006696827101046366
select_fixed,0.0,outcome_log_loss,-0.00109337097138823,-0.0028793586496784996,0.0008069281937811675
select_fixed,0.0,brier_score,-0.0005114879080771129,-0.0016010631055831794,0.0007026305423311565
select_fixed,0.0,mean,-0.041176470588234794,-0.16764705882352882,0.08823529411764745
select_fixed,0.0,at_least_24,0.0,0.0,0.0
select_half_life,0.0,log_loss,-0.003270424718869025,-0.006634321284125976,0.0006696827101046366
select_half_life,0.0,outcome_log_loss,-0.00109337097138823,-0.0028793586496784996,0.0008069281937811675
select_half_life,0.0,brier_score,-0.0005114879080771129,-0.0016010631055831794,0.0007026305423311565
select_half_life,0.0,mean,-0.041176470588234794,-0.16764705882352882,0.08823529411764745
select_half_life,0.0,at_least_24,0.0,0.0,0.0
select_half_life_and_form,0.0,log_loss,-0.0037000781783858906,-0.00678159464158051,-1.8553390804551074e-05
select_half_life_and_form,0.0,outcome_log_loss,-0.0016237937002757108,-0.0032317600397170367,3.70859859650877e-05
select_half_life_and_form,0.0,brier_score,-0.0007137938303540481,-0.0017893952523706292,0.00040614576326873794
select_half_life_and_form,0.0,mean,-0.005882352941176272,-0.17647058823529385,0.15588235294117644
select_half_life_and_form,0.0,at_least_24,0.0,0.0,0.0
select_fixed,0.5,log_loss,-0.00305840420380612,-0.005720671092640818,0.0001370442501412383
select_fixed,0.5,outcome_log_loss,-0.000559775644519922,-0.0014154070384220555,0.00032038317404947187
select_fixed,0.5,brier_score,-0.0003308347605283757,-0.0008750425686505681,0.0002512805929961273
select_fixed,0.5,mean,-0.02058823529411775,-0.12360294117647112,0.07647058823529385
select_fixed,0.5,at_least_24,0.0,0.0,0.0
select_half_life,0.5,log_loss,-0.00305840420380612,-0.005720671092640818,0.0001370442501412383
select_half_life,0.5,outcome_log_loss,-0.000559775644519922,-0.0014154070384220555,0.00032038317404947187
select_half_life,0.5,brier_score,-0.0003308347605283757,-0.0008750425686505681,0.0002512805929961273
select_half_life,0.5,mean,-0.02058823529411775,-0.12360294117647112,0.07647058823529385
select_half_life,0.5,at_least_24,0.0,0.0,0.0
select_half_life_and_form,0.5,log_loss,-0.0027854577045876906,-0.005501340788937848,0.0007038390130784458
select_half_life_and_form,0.5,outcome_log_loss,-0.0005532389647106561,-0.0013667248744619134,0.0002477260155855884
select_half_life_and_form,0.5,brier_score,-0.00033319379047233035,-0.0009090021288012939,0.00023615051784516838
select_half_life_and_form,0.5,mean,0.03529411764705888,-0.06176470588235254,0.12352941176470597
select_half_life_and_form,0.5,at_least_24,0.0,0.0,0.0
select_fixed,1.0,log_loss,-0.0025937647681809396,-0.004737452414704945,0.0001591832177788349
select_fixed,1.0,outcome_log_loss,5.1898247110515606e-05,-3.915194360688545e-05,0.00015016462112706934
select_fixed,1.0,brier_score,3.63321846207243e-05,-2.9902595562392164e-05,0.00010888392536220203
select_fixed,1.0,mean,-0.014705882352941124,-0.11470588235294166,0.0735294117647058
select_fixed,1.0,at_least_24,0.0,0.0,0.0
select_half_life,1.0,log_loss,-0.0025937647681809396,-0.004737452414704945,0.0001591832177788349
select_half_life,1.0,outcome_log_loss,5.1898247110515606e-05,-3.915194360688545e-05,0.00015016462112706934
select_half_life,1.0,brier_score,3.63321846207243e-05,-2.9902595562392164e-05,0.00010888392536220203
select_half_life,1.0,mean,-0.014705882352941124,-0.11470588235294166,0.0735294117647058
select_half_life,1.0,at_least_24,0.0,0.0,0.0
select_half_life_and_form,1.0,log_loss,-0.0023634325198707896,-0.004484084265790136,0.0003424418165426333
select_half_life_and_form,1.0,outcome_log_loss,2.730888503628126e-05,-7.049083713248639e-05,0.00013668033914709943
select_half_life_and_form,1.0,brier_score,1.5999382995446342e-05,-5.819360334551327e-05,9.526366489718275e-05
select_half_life_and_form,1.0,mean,-0.04117647058823533,-0.13529411764705887,0.03823529411764692
select_half_life_and_form,1.0,at_least_24,0.0,0.0,0.0
