policy,form,book_weight,season,games,log_loss,outcome_log_loss,brier_score,points,rounds,mean,maximum,at_least_18,at_least_20,at_least_22,at_least_24
fixed_120,legacy,0.0,2011,306,2.98111733569952,1.0003450372281177,0.5980353394130626,395,34,11.617647058823529,18,2,0,0,0
fixed_120,legacy,0.0,2012,306,3.0582162587123447,1.0035498886317804,0.5972358163926029,393,34,11.558823529411764,24,1,1,1,1
fixed_120,legacy,0.0,2013,306,3.1142237948170703,0.9661227998739901,0.5700777618194199,415,34,12.205882352941176,23,6,3,1,0
fixed_120,legacy,0.0,2014,306,3.0397384714239197,1.0501134131255878,0.6248624279352702,379,34,11.147058823529411,19,2,0,0,0
fixed_120,legacy,0.0,2015,306,3.0234717529760338,1.0187483011342353,0.6082235630717644,372,34,10.941176470588236,18,1,0,0,0
fixed_120,legacy,0.0,2016,306,3.012593216778797,1.0060431384313266,0.6019856097110289,427,34,12.558823529411764,23,4,2,1,0
fixed_120,legacy,0.0,2017,306,2.959480329175901,1.0322509544734835,0.6187853587826585,385,34,11.323529411764707,18,4,0,0,0
fixed_120,legacy,0.0,2018,306,3.1845300156022196,1.0031503145743146,0.5957101160645064,401,34,11.794117647058824,26,1,1,1,1
fixed_120,legacy,0.0,2019,306,3.186011794640555,1.009124216563054,0.6022454245426831,380,34,11.176470588235293,19,2,0,0,0
fixed_120,legacy,0.0,2020,306,3.0226062012233035,1.0337912947830212,0.6154563169824339,369,34,10.852941176470589,19,1,0,0,0
fixed_120,legacy,0.0,2021,306,3.094576751389878,1.02295533267143,0.6060240679145107,427,34,12.558823529411764,19,2,0,0,0
fixed_120,legacy,0.0,2022,306,3.192794233506764,1.0324105741820826,0.618017524522594,373,34,10.970588235294118,19,2,0,0,0
fixed_120,legacy,0.0,2023,306,3.0825395779755667,0.9679183638507104,0.5786283522116193,428,34,12.588235294117647,22,6,2,1,0
fixed_120,legacy,0.0,2024,306,3.161242363971862,1.0458850631071952,0.6252451433519931,368,34,10.823529411764707,25,3,1,1,1
fixed_120,legacy,0.0,2025,306,3.149896067314618,0.9941018477919115,0.5856260068666458,437,34,12.852941176470589,22,6,4,1,0
fixed_120,legacy,0.5,2011,306,2.9744513041161125,0.9936790056447106,0.5931004517226351,404,34,11.882352941176471,19,4,0,0,0
fixed_120,legacy,0.5,2012,306,3.0393659483157127,0.9846995782351484,0.5851427562807906,413,34,12.147058823529411,24,1,1,1,1
