policy,form,book_weight,phase,games,log_loss,outcome_log_loss,brier_score,points,rounds,mean,maximum,at_least_18,at_least_20,at_least_22,at_least_24
fixed_120,legacy,0.0,1-8,1080,3.1264920886136,1.0226276556737977,0.6109941187886269,1364,120,11.366666666666667,23,8,3,3,0
fixed_120,legacy,0.0,26-34,1215,3.1230019674011236,1.0050794444578384,0.5975212526213103,1547,135,11.459259259259259,26,6,4,2,1
fixed_120,legacy,0.0,9-25,2295,3.043760711310982,1.0115306458497737,0.6022930856756976,3038,255,11.913725490196079,25,29,7,2,2
fixed_120,legacy,0.5,1-8,1080,3.097074414855625,0.9932099819158233,0.5927631175463454,1426,120,11.883333333333333,23,9,4,4,0
fixed_120,legacy,0.5,26-34,1215,3.101787238808059,0.983864715864774,0.5855834844107393,1617,135,11.977777777777778,26,9,3,2,1
fixed_120,legacy,0.5,9-25,2295,3.022295644946875,0.9900655794856671,0.5895500906011301,3072,255,12.047058823529412,24,23,11,4,1
fixed_120,legacy,1.0,1-8,1080,3.086118026082901,0.9822535931430991,0.5849492553926219,1404,120,11.7,22,7,1,1,0
fixed_120,legacy,1.0,26-34,1215,3.0935630871596143,0.9756405642163294,0.5807386451986892,1666,135,12.34074074074074,23,12,5,2,0
fixed_120,legacy,1.0,9-25,2295,3.012496356921078,0.98026629145987,0.5831049007070221,3037,255,11.909803921568628,22,23,12,4,0
fixed_180,legacy,0.0,1-8,1080,3.0908308904079993,1.0060915447173686,0.600770032703517,1370,120,11.416666666666666,22,7,5,1,0
fixed_180,legacy,0.0,26-34,1215,3.1024383961941577,0.996609156728648,0.5927055516871622,1540,135,11.407407407407407,23,6,4,1,0
fixed_180,legacy,0.0,9-25,2295,3.0249792521498957,1.0052619977721375,0.5989032037030958,3019,255,11.83921568627451,25,22,5,2,2
fixed_180,legacy,0.5,1-8,1080,3.072783352917698,0.9880440072270674,0.5891501938238737,1412,120,11.766666666666667,23,7,4,2,0
fixed_180,legacy,0.5,26-34,1215,3.0870238558829612,0.9811946164174513,0.5839566543029855,1616,135,11.97037037037037,21,9,4,0,0
fixed_180,legacy,0.5,9-25,2295,3.0083945933210097,0.9886773389432515,0.5887318896686965,3045,255,11.941176470588236,25,19,9,5,2
fixed_180,legacy,1.0,1-8,1080,3.06699293883373,0.9822535931430991,0.5849492553926219,1402,120,11.683333333333334,22,6,1,1,0
fixed_180,legacy,1.0,26-34,1215,3.0814811602933485,0.975651920827839,0.5807450967809312,1651,135,12.22962962962963,21,12,6,0,0
fixed_180,legacy,1.0,9-25,2295,3.0000361857176263,0.9803189313398681,0.583126549025114,3041,255,11.925490196078432,23,20,10,5,0
fixed_270,legacy,0.0,1-8,1080,3.0739515876052703,0.9993374651706185,0.5963316028498146,1387,120,11.558333333333334,24,11,5,2,1
