book_weight,season,policy,form,selection_start,selection_end,past_log_loss,method
0.0,2016,fixed_840,legacy,2011,2015,2.9983420831256398,select_fixed
0.0,2017,fixed_840,legacy,2012,2016,2.9935741811912338,select_fixed
0.0,2018,fixed_840,legacy,2013,2017,2.9813601504656733,select_fixed
0.0,2019,fixed_840,legacy,2014,2018,2.9924145667221422,select_fixed
0.0,2020,fixed_840,legacy,2015,2019,3.026863175865313,select_fixed
0.0,2021,fixed_630,legacy,2016,2020,3.033177039868877,select_fixed
0.0,2022,fixed_630,legacy,2017,2021,3.0469107250901812,select_fixed
0.0,2023,fixed_630,legacy,2018,2022,3.083237686000571,select_fixed
0.0,2024,fixed_630,legacy,2019,2023,3.0699248325142703,select_fixed
0.0,2025,fixed_630,legacy,2020,2024,3.0632605144545417,select_fixed
0.5,2016,fixed_840,legacy,2011,2015,2.9897822123417206,select_fixed
0.5,2017,fixed_840,legacy,2012,2016,2.9853216027521374,select_fixed
0.5,2018,fixed_840,legacy,2013,2017,2.971260677131601,select_fixed
0.5,2019,fixed_840,legacy,2014,2018,2.982204415798477,select_fixed
0.5,2020,fixed_840,legacy,2015,2019,3.0165538064111135,select_fixed
0.5,2021,fixed_630,legacy,2016,2020,3.0221096060773744,select_fixed
0.5,2022,fixed_630,legacy,2017,2021,3.034729158070249,select_fixed
0.5,2023,fixed_840,legacy,2018,2022,3.0718257543112264,select_fixed
0.5,2024,fixed_630,legacy,2019,2023,3.0562197579025945,select_fixed
0.5,2025,fixed_840,legacy,2020,2024,3.048148943375806,select_fixed
1.0,2016,fixed_840,legacy,2011,2015,2.987956969513856,select_fixed
1.0,2017,fixed_840,legacy,2012,2016,2.983950533261027,select_fixed
1.0,2018,fixed_840,legacy,2013,2017,2.9674471780829506,select_fixed
1.0,2019,fixed_840,legacy,2014,2018,2.9779299127492562,select_fixed
1.0,2020,fixed_840,legacy,2015,2019,3.0121696705986816,select_fixed
1.0,2021,fixed_630,legacy,2016,2020,3.016430405125002,select_fixed
1.0,2022,fixed_630,legacy,2017,2021,3.028433108557742,select_fixed
1.0,2023,fixed_840,legacy,2018,2022,3.0663737121086547,select_fixed
1.0,2024,fixed_840,legacy,2019,2023,3.0491922926445296,select_fixed
1.0,2025,fixed_840,legacy,2020,2024,3.0404219402230384,select_fixed
0.0,2016,fixed_840,legacy,2011,2015,2.9983420831256398,select_half_life
0.0,2017,fixed_840,legacy,2012,2016,2.9935741811912338,select_half_life
0.0,2018,fixed_840,legacy,2013,2017,2.9813601504656733,select_half_life
0.0,2019,fixed_840,legacy,2014,2018,2.9924145667221422,select_half_life
0.0,2020,fixed_840,legacy,2015,2019,3.026863175865313,select_half_life
0.0,2021,fixed_630,legacy,2016,2020,3.033177039868877,select_half_life
0.0,2022,fixed_630,legacy,2017,2021,3.0469107250901812,select_half_life
0.0,2023,fixed_630,legacy,2018,2022,3.083237686000571,select_half_life
0.0,2024,fixed_630,legacy,2019,2023,3.0699248325142703,select_half_life
0.0,2025,fixed_630,legacy,2020,2024,3.0632605144545417,select_half_life
0.5,2016,fixed_840,legacy,2011,2015,2.9897822123417206,select_half_life
0.5,2017,fixed_840,legacy,2012,2016,2.9853216027521374,select_half_life
0.5,2018,fixed_840,legacy,2013,2017,2.971260677131601,select_half_life
0.5,2019,fixed_840,legacy,2014,2018,2.982204415798477,select_half_life
0.5,2020,fixed_840,legacy,2015,2019,3.0165538064111135,select_half_life
0.5,2021,fixed_630,legacy,2016,2020,3.0221096060773744,select_half_life
0.5,2022,fixed_630,legacy,2017,2021,3.034729158070249,select_half_life
0.5,2023,fixed_840,legacy,2018,2022,3.0718257543112264,select_half_life
0.5,2024,fixed_630,legacy,2019,2023,3.0562197579025945,select_half_life
0.5,2025,fixed_840,legacy,2020,2024,3.048148943375806,select_half_life
1.0,2016,fixed_840,legacy,2011,2015,2.987956969513856,select_half_life
1.0,2017,fixed_840,legacy,2012,2016,2.983950533261027,select_half_life
1.0,2018,fixed_840,legacy,2013,2017,2.9674471780829506,select_half_life
1.0,2019,fixed_840,legacy,2014,2018,2.9779299127492562,select_half_life
1.0,2020,fixed_840,legacy,2015,2019,3.0121696705986816,select_half_life
1.0,2021,fixed_630,legacy,2016,2020,3.016430405125002,select_half_life
1.0,2022,fixed_630,legacy,2017,2021,3.028433108557742,select_half_life
1.0,2023,fixed_840,legacy,2018,2022,3.0663737121086547,select_half_life
1.0,2024,fixed_840,legacy,2019,2023,3.0491922926445296,select_half_life
1.0,2025,fixed_840,legacy,2020,2024,3.0404219402230384,select_half_life
0.0,2016,fixed_840,legacy,2011,2015,2.9983420831256398,select_half_life_and_form
0.0,2017,fixed_840,residual_005,2012,2016,2.9932388648117962,select_half_life_and_form
0.0,2018,fixed_840,residual_005,2013,2017,2.9803050140614213,select_half_life_and_form
0.0,2019,fixed_840,residual_010,2014,2018,2.9904829774079182,select_half_life_and_form
0.0,2020,fixed_840,residual_010,2015,2019,3.025731091034436,select_half_life_and_form
0.0,2021,fixed_630,residual_020,2016,2020,3.0313124145690726,select_half_life_and_form
0.0,2022,fixed_630,residual_010,2017,2021,3.0454880294592046,select_half_life_and_form
0.0,2023,fixed_630,residual_010,2018,2022,3.081916804392459,select_half_life_and_form
0.0,2024,fixed_630,residual_010,2019,2023,3.0686070682752895,select_half_life_and_form
0.0,2025,fixed_630,residual_010,2020,2024,3.0616719395597523,select_half_life_and_form
0.5,2016,fixed_840,legacy,2011,2015,2.9897822123417206,select_half_life_and_form
0.5,2017,fixed_840,none,2012,2016,2.985174813485432,select_half_life_and_form
0.5,2018,fixed_840,residual_005,2013,2017,2.970658431120898,select_half_life_and_form
0.5,2019,fixed_840,residual_010,2014,2018,2.981340889488977,select_half_life_and_form
0.5,2020,fixed_840,residual_005,2015,2019,3.0162172851256934,select_half_life_and_form
0.5,2021,fixed_630,residual_020,2016,2020,3.02145441324155,select_half_life_and_form
0.5,2022,fixed_630,residual_010,2017,2021,3.034488912510244,select_half_life_and_form
0.5,2023,fixed_840,residual_010,2018,2022,3.071609039768181,select_half_life_and_form
0.5,2024,fixed_630,residual_010,2019,2023,3.055902666038495,select_half_life_and_form
0.5,2025,fixed_840,residual_010,2020,2024,3.04759483489549,select_half_life_and_form
1.0,2016,fixed_840,legacy,2011,2015,2.987956969513856,select_half_life_and_form
1.0,2017,fixed_840,legacy,2012,2016,2.983950533261027,select_half_life_and_form
1.0,2018,fixed_840,residual_005,2013,2017,2.9670980971254175,select_half_life_and_form
1.0,2019,fixed_840,residual_010,2014,2018,2.9777498765499524,select_half_life_and_form
