method,book_weight,season,games,log_loss,outcome_log_loss,brier_score,points,rounds,mean,maximum,at_least_18,at_least_20,at_least_22,at_least_24
baseline_420,0.0,2016,306,2.975095626960572,1.0027976839901225,0.6019820497228171,397,34,11.676470588235293,20,2,1,0,0
baseline_420,0.0,2017,306,2.9336921975422543,1.0156144303500516,0.606937997134261,380,34,11.176470588235293,18,2,0,0,0
baseline_420,0.0,2018,306,3.135975688871041,0.9792622923787291,0.5811151819281096,411,34,12.088235294117647,18,3,0,0,0
baseline_420,0.0,2019,306,3.143796420768472,0.9951043242069207,0.5930237923134997,413,34,12.147058823529411,22,4,2,1,0
baseline_420,0.0,2020,306,2.9854258455186957,1.0104000554698274,0.6028547457350715,371,34,10.911764705882353,16,0,0,0,0
baseline_420,0.0,2021,306,3.0505214923577837,1.0090756327456303,0.6005541851262364,386,34,11.352941176470589,18,1,0,0,0
baseline_420,0.0,2022,306,3.1235846001815593,1.0066932602640355,0.6018530521502148,402,34,11.823529411764707,23,3,2,1,0
baseline_420,0.0,2023,306,3.064250819609622,0.9771675657552297,0.5839180990510002,396,34,11.647058823529411,23,3,3,1,0
baseline_420,0.0,2024,306,3.108598424718657,1.0222729013764738,0.6104103720588406,379,34,11.147058823529411,23,5,1,1,0
baseline_420,0.0,2025,306,3.09136409898843,0.9741981809258207,0.5750734746962026,429,34,12.617647058823529,25,4,2,1,1
baseline_420,0.5,2016,306,2.968756753028635,0.9964588100581858,0.5980134267015262,398,34,11.705882352941176,20,2,1,0,0
baseline_420,0.5,2017,306,2.921192827997723,1.00311506080552,0.5994276856951112,398,34,11.705882352941176,18,2,0,0,0
baseline_420,0.5,2018,306,3.1260090086507955,0.9692956121584843,0.5752690877526245,407,34,11.970588235294118,18,3,0,0,0
baseline_420,0.5,2019,306,3.1276579734160204,0.9789658768544687,0.5830705715496756,411,34,12.088235294117647,20,3,1,0,0
baseline_420,0.5,2020,306,2.972223118400701,0.9971973283518324,0.5942099323644766,389,34,11.441176470588236,18,1,0,0,0
baseline_420,0.5,2021,306,3.035652655092667,0.9942067954805137,0.5915575477122238,369,34,10.852941176470589,18,1,0,0,0
baseline_420,0.5,2022,306,3.115112005978495,0.9982206660609714,0.5963552353707798,407,34,11.970588235294118,23,4,2,1,0
baseline_420,0.5,2023,306,3.0444887869085178,0.9574055330541251,0.5689538873720511,405,34,11.911764705882353,21,3,2,0,0
baseline_420,0.5,2024,306,3.0892294297149756,1.0029039063727927,0.5988810301736742,407,34,11.970588235294118,23,5,2,1,0
baseline_420,0.5,2025,306,3.0766908565281548,0.9595249384655454,0.5669960831250006,434,34,12.764705882352942,25,5,2,1,1
baseline_420,1.0,2016,306,2.9682509669663935,0.9959530239959442,0.5975189531288768,398,34,11.705882352941176,20,2,1,0,0
baseline_420,1.0,2017,306,2.9139648534088316,0.995887086216629,0.5952808362730977,422,34,12.411764705882353,21,4,1,0,0
baseline_420,1.0,2018,306,3.120460279236627,0.9637468827443155,0.5716778227340811,396,34,11.647058823529411,18,3,0,0,0
baseline_420,1.0,2019,306,3.117841421206648,0.9691493246450964,0.5767662532325724,393,34,11.558823529411764,20,2,1,0,0
baseline_420,1.0,2020,306,2.9636708343758538,0.9886450443269856,0.5879089986165086,396,34,11.647058823529411,19,4,0,0,0
baseline_420,1.0,2021,306,3.0293268407704943,0.9878809811583413,0.5868717194760111,384,34,11.294117647058824,17,0,0,0,0
baseline_420,1.0,2022,306,3.112833217052688,0.9959418771351647,0.5944976890319831,401,34,11.794117647058824,23,4,3,1,0
baseline_420,1.0,2023,306,3.0337669274163885,0.9466836735619963,0.5597900376607542,428,34,12.588235294117647,21,3,1,0,0
baseline_420,1.0,2024,306,3.0763543819203725,0.9900288585781899,0.5912994385243137,415,34,12.205882352941176,23,5,2,1,0
baseline_420,1.0,2025,306,3.0697623677306343,0.952596449668025,0.5626068548924935,433,34,12.735294117647058,21,5,3,0,0
select_fixed,0.0,2016,306,2.9744309419296915,1.0060011546475773,0.6041948556801301,397,34,11.676470588235293,20,3,2,0,0
select_fixed,0.0,2017,306,2.9359735892809558,1.015171893819526,0.6063188559476947,368,34,10.823529411764707,18,1,0,0,0
select_fixed,0.0,2018,306,3.12658520867758,0.9746210689248667,0.5787445602584513,410,34,12.058823529411764,19,4,0,0,0
select_fixed,0.0,2019,306,3.1385446798409857,0.9931732521246833,0.5921092195668578,417,34,12.264705882352942,22,6,2,1,0
select_fixed,0.0,2020,306,2.996793184982218,1.014535741872277,0.6061171038839623,384,34,11.294117647058824,17,0,0,0,0
select_fixed,0.0,2021,306,3.0430779016398466,1.0051727941710187,0.5981184724931748,383,34,11.264705882352942,18,1,0,0,0
select_fixed,0.0,2022,306,3.116386991964508,1.0046664211851857,0.6007591844662338,401,34,11.794117647058824,23,2,2,1,0
select_fixed,0.0,2023,306,3.0625472661916264,0.9788315263714394,0.5846929804638771,391,34,11.5,21,4,2,0,0
select_fixed,0.0,2024,306,3.1024754923788893,1.0199885032381897,0.6088580695195006,367,34,10.794117647058824,23,5,1,1,0
select_fixed,0.0,2025,306,3.082785711442095,0.9694902613941951,0.5726947685555998,432,34,12.705882352941176,25,4,2,1,1
select_fixed,0.5,2016,306,2.966273063902813,0.9978432766206989,0.5989418776986514,404,34,11.882352941176471,20,2,1,0,0
select_fixed,0.5,2017,306,2.9235355196555215,1.0027338241940917,0.5989857207203473,390,34,11.470588235294118,18,2,0,0,0
select_fixed,0.5,2018,306,3.1190560864052426,0.9670919466525293,0.5740120063415854,409,34,12.029411764705882,19,4,0,0,0
select_fixed,0.5,2019,306,3.123622245246585,0.9782508175302826,0.5826963527588225,416,34,12.235294117647058,20,3,1,0,0
select_fixed,0.5,2020,306,2.98091973916857,0.9986622960586288,0.5954552663216994,395,34,11.617647058823529,17,0,0,0,0
select_fixed,0.5,2021,306,3.0300480327746264,0.9921429253057985,0.5901901116174953,368,34,10.823529411764707,18,1,0,0,0
select_fixed,0.5,2022,306,3.109269609221843,0.9975490384425209,0.5959055590120274,407,34,11.970588235294118,23,3,2,1,0
select_fixed,0.5,2023,306,3.0417286519490303,0.9586805978568705,0.5696389048880511,403,34,11.852941176470589,21,2,2,0,0
select_fixed,0.5,2024,306,3.083988693385992,1.001501704245292,0.5978967410984641,396,34,11.647058823529411,23,6,2,1,0
