method,book_weight,games,log_loss,outcome_log_loss,brier_score,points,rounds,mean,maximum,at_least_18,at_least_20,at_least_22,at_least_24
baseline_420,0.0,3060,3.0612305215517086,0.9992586327462841,0.5957722949916253,3964,340,11.658823529411764,25,27,11,5,1
baseline_420,0.5,3060,3.0477013415716683,0.985729452766244,0.5872734487817144,4025,340,11.838235294117647,25,29,10,3,1
baseline_420,1.0,3060,3.0406232090084933,0.9786513202030688,0.5824218603570692,4066,340,11.958823529411765,23,32,12,2,0
select_fixed,0.0,3060,3.0579600968328395,0.9981652617748958,0.5952608070835482,3950,340,11.617647058823529,25,30,11,4,1
select_fixed,0.5,3060,3.0446429373678625,0.985169677121724,0.586942614021186,4018,340,11.81764705882353,25,27,9,3,1
select_fixed,1.0,3060,3.0380294442403124,0.9787032184501794,0.58245819254169,4061,340,11.944117647058823,23,30,12,2,0
select_half_life,0.0,3060,3.0579600968328395,0.9981652617748958,0.5952608070835482,3950,340,11.617647058823529,25,30,11,4,1
select_half_life,0.5,3060,3.0446429373678625,0.985169677121724,0.586942614021186,4018,340,11.81764705882353,25,27,9,3,1
select_half_life,1.0,3060,3.0380294442403124,0.9787032184501794,0.58245819254169,4061,340,11.944117647058823,23,30,12,2,0
select_half_life_and_form,0.0,3060,3.057530443373323,0.9976348390460085,0.5950585011612713,3962,340,11.652941176470588,25,26,11,4,1
select_half_life_and_form,0.5,3060,3.0449158838670805,0.9851762138015333,0.586940254991242,4037,340,11.873529411764705,25,27,10,3,1
select_half_life_and_form,1.0,3060,3.0382597764886223,0.9786786290881051,0.5824378597400647,4052,340,11.91764705882353,23,31,13,2,0
