strategy,season,matchday,points,baseline_points,changes,expected_cost,added_draws,games,better,equal,worse
baseline,2011,1,10,10,0,0.0,0.0,9,False,True,False
baseline,2011,2,8,8,0,0.0,0.0,9,False,True,False
baseline,2011,3,8,8,0,0.0,0.0,9,False,True,False
baseline,2011,4,13,13,0,0.0,0.0,9,False,True,False
baseline,2011,5,14,14,0,0.0,0.0,9,False,True,False
baseline,2011,6,10,10,0,0.0,0.0,9,False,True,False
baseline,2011,7,18,18,0,0.0,0.0,9,False,True,False
baseline,2011,8,11,11,0,0.0,0.0,9,False,True,False
baseline,2011,9,11,11,0,0.0,0.0,9,False,True,False
baseline,2011,10,10,10,0,0.0,0.0,9,False,True,False
baseline,2011,11,15,15,0,0.0,0.0,9,False,True,False
baseline,2011,12,9,9,0,0.0,0.0,9,False,True,False
baseline,2011,13,12,12,0,0.0,0.0,9,False,True,False
baseline,2011,14,10,10,0,0.0,0.0,9,False,True,False
baseline,2011,15,8,8,0,0.0,0.0,9,False,True,False
baseline,2011,16,11,11,0,0.0,0.0,9,False,True,False
baseline,2011,17,10,10,0,0.0,0.0,9,False,True,False
baseline,2011,18,16,16,0,0.0,0.0,9,False,True,False
baseline,2011,19,14,14,0,0.0,0.0,9,False,True,False
baseline,2011,20,2,2,0,0.0,0.0,9,False,True,False
baseline,2011,21,18,18,0,0.0,0.0,9,False,True,False
baseline,2011,22,16,16,0,0.0,0.0,9,False,True,False
baseline,2011,23,13,13,0,0.0,0.0,9,False,True,False
baseline,2011,24,6,6,0,0.0,0.0,9,False,True,False
baseline,2011,25,13,13,0,0.0,0.0,9,False,True,False
baseline,2011,26,8,8,0,0.0,0.0,9,False,True,False
baseline,2011,27,16,16,0,0.0,0.0,9,False,True,False
baseline,2011,28,7,7,0,0.0,0.0,9,False,True,False
baseline,2011,29,11,11,0,0.0,0.0,9,False,True,False
baseline,2011,30,13,13,0,0.0,0.0,9,False,True,False
baseline,2011,31,12,12,0,0.0,0.0,9,False,True,False
baseline,2011,32,6,6,0,0.0,0.0,9,False,True,False
baseline,2011,33,13,13,0,0.0,0.0,9,False,True,False
baseline,2011,34,16,16,0,0.0,0.0,9,False,True,False
baseline,2012,1,7,7,0,0.0,0.0,9,False,True,False
baseline,2012,2,8,8,0,0.0,0.0,9,False,True,False
baseline,2012,3,15,15,0,0.0,0.0,9,False,True,False
baseline,2012,4,6,6,0,0.0,0.0,9,False,True,False
baseline,2012,5,8,8,0,0.0,0.0,9,False,True,False
baseline,2012,6,13,13,0,0.0,0.0,9,False,True,False
baseline,2012,7,18,18,0,0.0,0.0,9,False,True,False
baseline,2012,8,6,6,0,0.0,0.0,9,False,True,False
baseline,2012,9,12,12,0,0.0,0.0,9,False,True,False
baseline,2012,10,15,15,0,0.0,0.0,9,False,True,False
baseline,2012,11,13,13,0,0.0,0.0,9,False,True,False
baseline,2012,12,12,12,0,0.0,0.0,9,False,True,False
baseline,2012,13,11,11,0,0.0,0.0,9,False,True,False
baseline,2012,14,11,11,0,0.0,0.0,9,False,True,False
