season,strategy,selection_start,selection_end,past_ge22,past_ge24,past_changes,past_points
2016,baseline,2011,2015,1,0,0,2025
2017,baseline,2012,2016,1,0,0,2035
2018,baseline,2013,2017,1,0,0,2052
2019,hybrid_120,2014,2018,1,0,236,1915
2020,hybrid_120,2015,2019,2,0,229,1907
2021,hybrid_120,2016,2020,2,0,220,1905
2022,hybrid_90,2017,2021,2,1,238,1883
2023,hybrid_90,2018,2022,2,1,235,1894
2024,hybrid_90,2019,2023,2,1,237,1955
2025,hybrid_90,2020,2024,3,1,241,1964
2026,hybrid_90,2021,2025,3,1,235,2034
