strategy,metric,difference,ci_025,ci_975
full_120,mean,-0.20882352941176432,-0.6823529411764699,0.29411764705882426
full_120,at_least_22,0.3,-0.1,0.7
full_120,at_least_24,0.2,0.0,0.5
full_270,mean,-0.28529411764705853,-0.6852941176470585,0.08235294117647082
full_270,at_least_22,0.6,0.2,1.0
full_270,at_least_24,0.2,0.0,0.5
full_90,mean,-0.29705882352941143,-0.7529411764705877,0.19411764705882373
full_90,at_least_22,0.3,-0.2,0.8
full_90,at_least_24,0.2,0.0,0.5
hybrid_120,mean,-0.49705882352941144,-0.6941176470588231,-0.2941176470588232
hybrid_120,at_least_22,0.0,-0.4,0.4
hybrid_120,at_least_24,0.0,0.0,0.0
hybrid_270,mean,-0.5441176470588232,-0.861764705882352,-0.2264705882352942
hybrid_270,at_least_22,0.0,-0.4,0.4
hybrid_270,at_least_24,0.0,0.0,0.0
hybrid_420,mean,-0.5529411764705878,-0.8852941176470583,-0.19117647058823498
hybrid_420,at_least_22,0.0,-0.4,0.4
hybrid_420,at_least_24,0.0,0.0,0.0
hybrid_90,mean,-0.36764705882352916,-0.7117647058823525,-0.03235294117647029
hybrid_90,at_least_22,0.2,-0.2,0.6
hybrid_90,at_least_24,0.1,0.0,0.3
rolling_selection,mean,-0.2705882352941174,-0.4705882352941174,-0.0617647058823529
rolling_selection,at_least_22,0.1,-0.2,0.4
rolling_selection,at_least_24,0.0,0.0,0.0
