season,matchday,home,away,goals_home,goals_away
2005,1,Energie Cottbus,Eintracht Braunschweig,2,1
2005,1,1. FC Saarbrücken,VfL Bochum,0,4
2005,1,SpVgg Greuther Fürth,Dynamo Dresden,3,1
2005,1,SC Freiburg,Wacker Burghausen,2,1
2005,1,Hansa Rostock,Kickers Offenbach,1,2
2005,1,LR Ahlen,TSV 1860 München,1,2
2005,1,SpVgg Unterhaching,SC Paderborn 07,3,0
2005,1,Karlsruher SC,Sportfreunde Siegen,2,0
2005,1,Erzgebirge Aue,Alemannia Aachen,2,1
2005,2,Alemannia Aachen,Karlsruher SC,2,1
2005,2,TSV 1860 München,Hansa Rostock,4,1
2005,2,Dynamo Dresden,SC Freiburg,2,0
2005,2,Sportfreunde Siegen,SpVgg Unterhaching,4,0
2005,2,SC Paderborn 07,1. FC Saarbrücken,5,0
2005,2,Eintracht Braunschweig,LR Ahlen,3,1
2005,2,Kickers Offenbach,SpVgg Greuther Fürth,2,1
2005,2,Wacker Burghausen,Erzgebirge Aue,1,1
2005,2,VfL Bochum,Energie Cottbus,2,2
2005,3,Hansa Rostock,Eintracht Braunschweig,2,3
2005,3,LR Ahlen,VfL Bochum,2,2
2005,3,Dynamo Dresden,Kickers Offenbach,4,1
2005,3,SC Freiburg,Erzgebirge Aue,2,0
2005,3,Energie Cottbus,SC Paderborn 07,1,2
2005,3,1. FC Saarbrücken,Sportfreunde Siegen,0,3
2005,3,SpVgg Unterhaching,Alemannia Aachen,1,2
2005,3,Karlsruher SC,Wacker Burghausen,0,1
2005,3,SpVgg Greuther Fürth,TSV 1860 München,2,2
2005,4,Alemannia Aachen,1. FC Saarbrücken,4,0
2005,4,TSV 1860 München,Dynamo Dresden,1,2
2005,4,Wacker Burghausen,SpVgg Unterhaching,1,1
2005,4,Sportfreunde Siegen,Energie Cottbus,2,4
2005,4,SC Paderborn 07,LR Ahlen,1,0
2005,4,Eintracht Braunschweig,SpVgg Greuther Fürth,3,0
2005,4,Kickers Offenbach,SC Freiburg,2,1
2005,4,Erzgebirge Aue,Karlsruher SC,0,0
2005,4,VfL Bochum,Hansa Rostock,1,0
2005,5,SC Freiburg,Karlsruher SC,0,0
2005,5,SpVgg Unterhaching,Erzgebirge Aue,1,1
2005,5,Kickers Offenbach,TSV 1860 München,2,5
2005,5,Dynamo Dresden,Eintracht Braunschweig,1,1
2005,5,SpVgg Greuther Fürth,VfL Bochum,1,3
2005,5,Hansa Rostock,SC Paderborn 07,2,0
2005,5,LR Ahlen,Sportfreunde Siegen,0,1
2005,5,Energie Cottbus,Alemannia Aachen,5,1
2005,5,1. FC Saarbrücken,Wacker Burghausen,1,1
2005,6,VfL Bochum,Dynamo Dresden,1,0
2005,6,Eintracht Braunschweig,Kickers Offenbach,2,0
2005,6,TSV 1860 München,SC Freiburg,0,1
2005,6,Karlsruher SC,SpVgg Unterhaching,1,0
2005,6,Alemannia Aachen,LR Ahlen,6,2
2005,6,SC Paderborn 07,SpVgg Greuther Fürth,1,2
2005,6,Erzgebirge Aue,1. FC Saarbrücken,2,0
2005,6,Wacker Burghausen,Energie Cottbus,0,1
2005,6,Sportfreunde Siegen,Hansa Rostock,1,1
2005,7,SC Freiburg,SpVgg Unterhaching,3,2
2005,7,TSV 1860 München,Eintracht Braunschweig,1,0
2005,7,Kickers Offenbach,VfL Bochum,0,0
2005,7,LR Ahlen,Wacker Burghausen,2,2
2005,7,Energie Cottbus,Erzgebirge Aue,1,0
2005,7,1. FC Saarbrücken,Karlsruher SC,1,2
2005,7,Dynamo Dresden,SC Paderborn 07,0,2
2005,7,SpVgg Greuther Fürth,Sportfreunde Siegen,1,0
2005,7,Hansa Rostock,Alemannia Aachen,1,0
2005,8,Alemannia Aachen,SpVgg Greuther Fürth,0,1
2005,8,SpVgg Unterhaching,1. FC Saarbrücken,0,1
2005,8,Erzgebirge Aue,LR Ahlen,0,0
2005,8,Sportfreunde Siegen,Dynamo Dresden,2,2
2005,8,SC Paderborn 07,Kickers Offenbach,4,1
2005,8,Eintracht Braunschweig,SC Freiburg,0,0
2005,8,Karlsruher SC,Energie Cottbus,3,2
2005,8,Wacker Burghausen,Hansa Rostock,1,1
2005,8,VfL Bochum,TSV 1860 München,1,0
2005,9,Hansa Rostock,Erzgebirge Aue,1,0
2005,9,LR Ahlen,Karlsruher SC,2,2
2005,9,TSV 1860 München,SC Paderborn 07,1,0
2005,9,SC Freiburg,1. FC Saarbrücken,3,1
2005,9,Energie Cottbus,SpVgg Unterhaching,2,0
2005,9,Eintracht Braunschweig,VfL Bochum,0,0
2005,9,Kickers Offenbach,Sportfreunde Siegen,1,1
2005,9,SpVgg Greuther Fürth,Wacker Burghausen,6,2
