season,home,away,matchday,date,game_id,league_id,source,goals_home,goals_away,played
2025,Schalke 04,Hertha Berlin,1,2025-08-01 18:30:00+00:00,747024.0,ger.2,real,2.0,1.0,True
2025,Karlsruher SC,Preußen Münster,1,2025-08-02 11:00:00+00:00,747032.0,ger.2,real,3.0,2.0,True
2025,SC Paderborn 07,Holstein Kiel,1,2025-08-02 11:00:00+00:00,747029.0,ger.2,real,2.0,1.0,True
2025,SV 07 Elversberg,1. FC Nürnberg,1,2025-08-02 11:00:00+00:00,747030.0,ger.2,real,1.0,0.0,True
2025,SV Darmstadt 98,VfL Bochum,1,2025-08-02 11:00:00+00:00,747031.0,ger.2,real,4.0,1.0,True
2025,Arminia Bielefeld,Fortuna Düsseldorf,1,2025-08-02 18:30:00+00:00,747026.0,ger.2,real,5.0,1.0,True
2025,1. FC Magdeburg,TSV Eintracht Braunschweig,1,2025-08-03 11:30:00+00:00,747025.0,ger.2,real,0.0,1.0,True
2025,Hannover 96,Kaiserslautern,1,2025-08-03 11:30:00+00:00,747028.0,ger.2,real,1.0,0.0,True
2025,SpVgg Greuther Fürth,Dynamo Dresden,1,2025-08-03 11:30:00+00:00,747027.0,ger.2,real,3.0,2.0,True
2025,1. FC Nürnberg,SV Darmstadt 98,2,2025-08-08 16:30:00+00:00,747034.0,ger.2,real,0.0,1.0,True
2025,Preußen Münster,SC Paderborn 07,2,2025-08-08 16:30:00+00:00,747039.0,ger.2,real,1.0,1.0,True
2025,Dynamo Dresden,1. FC Magdeburg,2,2025-08-09 11:00:00+00:00,747040.0,ger.2,real,1.0,2.0,True
2025,Fortuna Düsseldorf,Hannover 96,2,2025-08-09 11:00:00+00:00,747036.0,ger.2,real,0.0,2.0,True
2025,TSV Eintracht Braunschweig,SpVgg Greuther Fürth,2,2025-08-09 11:00:00+00:00,747035.0,ger.2,real,3.0,2.0,True
2025,Kaiserslautern,Schalke 04,2,2025-08-09 18:30:00+00:00,747033.0,ger.2,real,1.0,0.0,True
2025,Hertha Berlin,Karlsruher SC,2,2025-08-10 11:30:00+00:00,747037.0,ger.2,real,0.0,0.0,True
