team,squad_value_eur,market_value_gk_eur,market_value_def_eur,market_value_mid_eur,market_value_att_eur
Mexico,193550000.0,9550000.0,38000000.0,76000000.0,70000000.0
South Africa,44800000.0,2650000.0,17800000.0,6400000.0,17950000.0
South Korea,137550000.0,2150000.0,33299999.999999996,56800000.0,45300000.0
Czech Republic,188180000.0,28000000.0,58100000.0,56680000.0,45400000.0
Canada,196150000.0,5850000.0,67500000.0,47800000.0,75000000.0
Bosnia and Herzegovina,150700000.0,7200000.0,59100000.0,24900000.0,59500000.0
Qatar,19940000.0,1500000.0,2330000.0,2330000.0,13780000.0
Switzerland,332600000.0,48500000.0,54800000.0,136500000.0,92800000.0
Brazil,943200000.0,25700000.0,217500000.0,161000000.0,539000000.0
Morocco,487200000.0,5000000.0,167200000.0,192000000.0,123000000.0
Haiti,55610000.0,900000.0,7280000.0,19630000.0,27800000.0
Scotland,170230000.0,1830000.0,53200000.0,76900000.0,38300000.0
United States,385650000.0,7000000.0,95150000.0,142500000.0,141000000.0
Paraguay,153650000.0,6600000.0,29000000.0,86500000.0,31550000.0
Australia,77600000.0,3500000.0,35200000.0,21100000.0,17800000.0
Turkey,475700000.0,20500000.0,101200000.0,196000000.0,158000000.0
Germany,982000000.0,18500000.0,220000000.0,511500000.0,232000000.0
Curacao,25835000.0,225000.0,11380000.0,6950000.0,7280000.0
Ivory Coast,520900000.0,8800000.0,158000000.0,63100000.0,291000000.0
Ecuador,366400000.0,2900000.0,186000000.0,127500000.0,50000000.0
Netherlands,814200000.0,74000000.0,282000000.0,257200000.0,201000000.0
Japan,279400000.0,24000000.0,55900000.0,67000000.0,132500000.0
Sweden,402980000.0,14680000.0,94800000.0,105300000.0,188200000.0
Tunisia,69650000.0,2150000.0,19100000.0,28000000.0,20400000.0
Belgium,548900000.0,78000000.0,144500000.0,177400000.0,149000000.0
Egypt,116680000.0,3050000.0,8830000.0,15500000.0,89300000.0
Iran,32650000.0,1850000.0,6950000.0,5850000.0,18000000.0
New Zealand,34600000.0,2150000.0,11600000.0,11750000.0,9100000.0
Spain,1217000000.0,95000000.0,279000000.0,420000000.0,423000000.0
Cape Verde,55950000.0,1400000.0,36000000.0,9450000.0,9100000.0
Saudi Arabia,37010000.0,1180000.0,20400000.0,7950000.0,7480000.0
Uruguay,398300000.0,4500000.0,117000000.0,223500000.0,53300000.0
France,1561000000.0,57000000.0,417000000.0,317000000.0,770000000.0
Senegal,480400000.0,12400000.0,88500000.0,157500000.0,222000000.0
Iraq,21110000.0,1080000.0,4830000.0,5500000.0,9700000.0
Norway,592000000.0,5400000.0,94000000.0,130600000.0,362000000.0
Argentina,799500000.0,21000000.0,145500000.0,334000000.0,299000000.0
Algeria,256600000.0,2100000.0,68800000.0,98000000.0,87700000.0
Austria,231700000.0,6400000.0,95000000.0,110300000.0,20000000.0
Jordan,19890000.0,800000.0,3980000.0,2530000.0,12580000.0
Portugal,1005500000.0,50500000.0,325000000.0,417000000.0,213000000.0
DR Congo,141750000.0,6200000.0,30700000.0,59650000.0,45200000.0
Uzbekistan,85330000.0,2500000.0,55380000.0,7850000.0,19600000.0
Colombia,297750000.0,3150000.0,72800000.0,62300000.0,159500000.0
England,1373200000.0,66000000.0,376000000.0,561200000.0,370000000.0
Croatia,387700000.0,13500000.0,195500000.0,134000000.0,44700000.0
Ghana,235880000.0,1880000.0,41000000.0,24000000.0,169000000.0
Panama,34530000.0,1050000.0,19750000.0,5450000.0,8279999.999999999
