match_nr,home,away,tip_home,tip_away,locked,run_timestamp
1,Mexico,South Africa,1,0,True,2026-06-17T17:03:48
2,South Korea,Czech Republic,1,1,True,2026-06-17T17:03:48
3,Canada,Bosnia and Herzegovina,1,0,True,2026-06-17T17:03:48
4,United States,Paraguay,0,0,True,2026-06-17T17:03:48
5,Haiti,Scotland,0,1,True,2026-06-17T17:03:48
6,Australia,Turkey,0,1,True,2026-06-17T17:03:48
7,Brazil,Morocco,0,0,True,2026-06-17T17:03:48
8,Qatar,Switzerland,0,2,True,2026-06-17T17:03:48
9,Ivory Coast,Ecuador,0,0,True,2026-06-17T17:03:48
10,Germany,Curacao,3,0,True,2026-06-17T17:03:48
11,Netherlands,Japan,1,0,True,2026-06-17T17:03:48
12,Sweden,Tunisia,0,0,True,2026-06-17T17:03:48
13,Saudi Arabia,Uruguay,0,1,True,2026-06-17T17:03:48
14,Spain,Cape Verde,2,0,True,2026-06-17T17:03:48
15,Iran,New Zealand,1,0,True,2026-06-17T17:03:48
16,Belgium,Egypt,1,0,True,2026-06-17T17:03:48
17,France,Senegal,1,0,True,2026-06-17T17:03:48
18,Iraq,Norway,0,1,True,2026-06-17T17:03:48
19,Argentina,Algeria,1,0,True,2026-06-17T17:03:48
20,Austria,Jordan,1,0,True,2026-06-17T17:03:48
21,Ghana,Panama,1,1,False,2026-06-17T17:31:53
22,England,Croatia,2,1,False,2026-06-17T17:31:53
23,Portugal,DR Congo,2,0,False,2026-06-17T17:31:53
24,Uzbekistan,Colombia,1,2,False,2026-06-17T17:31:53
25,Czech Republic,South Africa,1,1,False,2026-06-18T19:02:59
26,Switzerland,Bosnia and Herzegovina,2,1,False,2026-06-18T19:02:59
27,Canada,Qatar,2,1,False,2026-06-18T19:02:59
28,Mexico,South Korea,1,1,False,2026-06-18T19:02:59
29,Brazil,Haiti,5,0,False,2026-06-18T19:02:59
30,Scotland,Morocco,1,1,False,2026-06-18T19:02:59
31,Turkey,Paraguay,1,1,False,2026-06-18T19:02:59
32,United States,Australia,1,1,False,2026-06-18T19:02:59
33,Germany,Ivory Coast,2,1,False,2026-06-18T19:02:59
34,Ecuador,Curacao,2,0,False,2026-06-18T19:02:59
35,Netherlands,Sweden,2,1,False,2026-06-18T19:02:59
36,Tunisia,Japan,1,1,False,2026-06-18T19:02:59
37,Uruguay,Cape Verde,2,0,False,2026-06-18T19:02:59
38,Spain,Saudi Arabia,3,0,False,2026-06-18T19:02:59
39,Belgium,Iran,2,1,False,2026-06-18T19:02:59
40,New Zealand,Egypt,0,1,False,2026-06-18T19:02:59
41,Norway,Senegal,2,1,False,2026-06-18T19:02:59
